ticker,n,brier,reliability,ece,base_rate
TSLA,648,0.1277,0.0065,0.0629,0.3704
GOOGL,592,0.1304,0.0086,0.0599,0.3767
META,588,0.1284,0.0035,0.0436,0.3776
AMZN,582,0.1198,0.0097,0.0654,0.378
AAPL,561,0.1193,0.0049,0.0504,0.4153
NVDA,528,0.1244,0.0069,0.0595,0.4242
MSFT,522,0.1298,0.0074,0.0651,0.4119
PLTR,460,0.1408,0.0067,0.0537,0.3652
OPEN,322,0.1288,0.0098,0.0797,0.4068
NFLX,230,0.171,0.0074,0.064,0.4174
RKLB,78,0.1242,0.0281,0.1392,0.2436
ABNB,42,0.1566,0.0225,0.121,0.4286
COIN,36,0.2514,0.0703,0.1929,0.3611
HOOD,36,0.2526,0.0431,0.1836,0.4167
