Ticker,Total Markets,Calibration Sample,Base Rate,Brier Score,Reliability,Resolution,ECE,Avg Volume ($),Dominant Type,Calibration Quality
AAPL,823,561,41.5%,0.1193,0.0049,0.1287,0.0504,"7,788",daily_close_above,Well-calibrated
NVDA,812,528,42.4%,0.1244,0.0069,0.1263,0.0595,"10,764",daily_close_above,Good
AMZN,827,582,37.8%,0.1198,0.0097,0.1237,0.0654,"8,010",daily_close_above,Good
GOOGL,820,592,37.7%,0.1304,0.0086,0.1125,0.0599,"9,822",daily_close_above,Good
TSLA,817,648,37.0%,0.1277,0.0065,0.1105,0.0629,"8,616",weekly_above,Good
MSFT,819,522,41.2%,0.1298,0.0074,0.1203,0.0651,"7,473",daily_close_above,Good
META,787,588,37.8%,0.1284,0.0035,0.1087,0.0436,"7,098",daily_close_above,Well-calibrated
PLTR,632,460,36.5%,0.1408,0.0067,0.0966,0.0537,"5,486",weekly_above,Good
NFLX,613,230,41.7%,0.1710,0.0074,0.0797,0.0640,"9,142",daily_updown,Good
OPEN,610,322,40.7%,0.1288,0.0098,0.1231,0.0797,"7,216",weekly_above,Good
